ATTm591131                accountNameHistory 
ATTq590584                aCSAggregateTokenRatePerUser 
ATTq590590                aCSAllocableRSVPBandwidth 
ATTj590603                aCSCacheTimeout 
ATTj590581                aCSDirection 
ATTj590602                aCSDSBMDeadTime 
ATTj590600                aCSDSBMPriority 
ATTj590601                aCSDSBMRefresh 
ATTi590594                aCSEnableACSService 
ATTi590723                aCSEnableRSVPAccounting 
ATTi590592                aCSEnableRSVPMessageLogging 
ATTj590593                aCSEventLogLevel 
ATTm590608                aCSIdentityName 
ATTq590721                aCSMaxAggregatePeakRatePerUser 
ATTj590585                aCSMaxDurationPerFlow 
ATTj590725                aCSMaxNoOfAccountFiles 
ATTj590598                aCSMaxNoOfLogFiles 
ATTq590591                aCSMaxPeakBandwidth 
ATTq590583                aCSMaxPeakBandwidthPerFlow 
ATTj590726                aCSMaxSizeOfRSVPAccountFile 
ATTj590599                aCSMaxSizeOfRSVPLogFile 
ATTq591137                aCSMaxTokenBucketPerFlow 
ATTq590582                aCSMaxTokenRatePerFlow 
ATTq591138                aCSMaximumSDUSize 
ATTq591141                aCSMinimumDelayVariation 
ATTq591140                aCSMinimumLatency 
ATTq591139                aCSMinimumPolicedSize 
ATTq591144                aCSNonReservedMaxSDUSize 
ATTq591145                aCSNonReservedMinPolicedSize 
ATTq591142                aCSNonReservedPeakRate 
ATTq591143                aCSNonReservedTokenSize 
ATTq590604                aCSNonReservedTxLimit 
ATTq590722                aCSNonReservedTxSize 
ATTq590589                aCSPermissionBits 
ATTm590596                aCSPolicyName 
ATTj590588                aCSPriority 
ATTm590724                aCSRSVPAccountFilesLocation 
ATTm590597                aCSRSVPLogFilesLocation 
ATTj590586                aCSServiceType 
ATTm590580                aCSTimeOfDay 
ATTj590587                aCSTotalNoOfFlows 
ATTm591136                aCSServerList 
ATTm590089                notes 
ATTm590713                additionalTrustedServiceNames 
ATTm131689                homePostalAddress 
ATTm590438                adminContextMenu 
ATTm131298                adminDescription 
ATTm591514                adminMultiselectPropertyPages 
ATTm590386                adminPropertyPages 
ATTj590672                appSchemaVersion 
ATTm590042                applicationName 
ATTm590165                appliesTo 
ATTm590107                assetNumber 
ATTb590476                assistant 
ATTk591037                assocNTAccount 
ATTf1376293               associatedDomain 
ATTb1376294               associatedName 
ATTk58                    attributeCertificateAttribute 
ATTm590572                attributeDisplayNames 
ATTk1376311               audio 
ATTk38                    authorityRevocationList 
ATTk590156                birthLocation 
ATTm1376304               buildingName 
ATTq589837                builtinCreationTime 
ATTq589838                builtinModifiedCount 
ATTm15                    businessCategory 
ATTj590108                bytesPerMinute 
ATTk37                    cACertificate 
ATTm590521                cACertificateDN 
ATTm590511                cAConnect 
ATTm590514                cAUsages 
ATTm590512                cAWEBURL 
ATTm590639                canUpgradeScript 
ATTm1441793               carLicense 
ATTm590499                catalogs 
ATTm590496                categories 
ATTk590146                categoryId 
ATTb590508                certificateAuthorityObject 
ATTk39                    certificateRevocationList 
ATTm590647                certificateTemplates 
ATTm590434                classDisplayName 
ATTm589843                cOMClassID 
ATTm590073                cOMCLSID 
ATTm589844                cOMInterfaceID 
ATTm590077                cOMOtherProgId 
ATTm589845                cOMProgID 
ATTm590075                cOMTreatAsClassId 
ATTm590078                cOMTypelibId 
ATTm590074                cOMUniqueLIBID 
ATTm131153                info 
ATTm131218                company 
ATTi589848                contentIndexingAllowed 
ATTm590323                contextMenu 
ATTk590024                controlAccessRights 
ATTm590634                createDialog 
ATTm590636                createWizardExt 
ATTm590322                creationWizard 
ATTm590503                creator 
ATTb590513                cRLObject 
ATTk590507                cRLPartitionedRevocationList 
ATTk40                    crossCertificatePair 
ATTk590161                currMachineId 
ATTk590159                currentLocation 
ATTb590520                currentParentCA 
ATTb590037                defaultClassStore 
ATTb590304                defaultGroup 
ATTb589881                defaultLocalPolicyObject 
ATTj590056                defaultPriority 
ATTk53                    deltaRevocationList 
ATTm131213                department 
ATTm1441794               departmentNumber 
ATTm590170                desktopProfile 
ATTf27                    destinationIndicator 
ATTk590539                dhcpClasses 
ATTq590524                dhcpFlags 
ATTm590525                dhcpIdentification 
ATTf590530                dhcpMask 
ATTq590543                dhcpMaxKey 
ATTm590527                dhcpObjDescription 
ATTm590526                dhcpObjName 
ATTk590538                dhcpOptions 
ATTk590542                dhcpProperties 
ATTf590531                dhcpRanges 
ATTf590533                dhcpReservations 
ATTf590528                dhcpServers 
ATTf590532                dhcpSites 
ATTf590541                dhcpState 
ATTf590529                dhcpSubnets 
ATTj590523                dhcpType 
ATTq590522                dhcpUniqueKey 
ATTq590544                dhcpUpdateTime 
ATTm590085                division 
ATTm131670                dmdName 
ATTi590202                dnsAllowDynamic 
ATTi590203                dnsAllowXFR 
ATTj590205                dnsNotifySecondaries 
ATTk591130                dNSProperty 
ATTk590206                dnsRecord 
ATTj590204                dnsSecureSecondaries 
ATTi591238                dNSTombstoned 
ATTb1376270               documentAuthor 
ATTm1376267               documentIdentifier 
ATTm1376271               documentLocation 
ATTm1376312               documentPublisher 
ATTm1376268               documentTitle 
ATTm1376269               documentVersion 
ATTb590492                domainCAs 
ATTb590510                domainID 
ATTj590579                domainIdentifier 
ATTb589856                domainPolicyObject 
ATTb590246                domainPolicyReference 
ATTk590245                domainWidePolicy 
ATTm1376261               drink 
ATTm590053                driverName 
ATTj590100                driverVersion 
ATTj591168                dSUIAdminMaximum 
ATTm591167                dSUIAdminNotification 
ATTj591169                dSUIShellMaximum 
ATTb590361                dynamicLDAPServer 
ATTm1376259               mail 
ATTm589859                employeeID 
ATTm131682                employeeNumber 
ATTm131685                employeeType 
ATTm590649                enrollmentProviders 
ATTm131299                extensionName 
ATTm591511                extraColumns 
ATTm23                    facsimileTelephoneNumber 
ATTm590640                fileExtPriority 
ATTj589862                flags 
ATTk590180                foreignIdentifier 
ATTm590506                friendlyNames 
ATTm590695                fRSControlDataCreation 
ATTm590696                fRSControlInboundBacklog 
ATTm590697                fRSControlOutboundBacklog 
ATTm590308                fRSDirectoryFilter 
ATTj590314                fRSDSPoll 
ATTk590360                fRSExtensions 
ATTm590315                fRSFaultCondition 
ATTm590307                fRSFileFilter 
ATTj590698                fRSFlags 
ATTj590358                fRSLevelLimit 
ATTj590701                fRSPartnerAuthLevel 
ATTk590357                fRSReplicaSetGUID 
ATTj589855                fRSReplicaSetType 
ATTm590311                fRSRootPath 
ATTp590359                fRSRootSecurity 
ATTm590324                fRSServiceCommand 
ATTm590703                fRSServiceCommandStatus 
ATTm590312                fRSStagingPath 
ATTl590704                fRSTimeLastCommand 
ATTl590705                fRSTimeLastConfigChange 
ATTj590309                fRSUpdateTimeout 
ATTm590706                fRSVersion 
ATTk589867                fRSVersionGUID 
ATTm590310                fRSWorkingPath 
ATTi589865                generatedConnection 
ATTm44                    generationQualifier 
ATTm590715                gPLink 
ATTj590716                gPOptions 
ATTm590718                gPCFileSysPath 
ATTj590717                gPCFunctionalityVersion 
ATTm591172                gPCMachineExtensionNames 
ATTm591173                gPCUserExtensionNames 
ATTm591518                gPCWQLFilter 
ATTj589976                groupAttributes 
ATTk589990                groupMembershipSAM 
ATTm590169                groupPriority 
ATTm590168                groupsToIgnore 
ATTi591604                hideFromAB 
ATTm51                    houseIdentifier 
ATTm1376265               host 
ATTm590043                iconPath 
ATTk590144                implementedCategories 
ATTm590505                indexedScopes 
ATTm43                    initials 
ATTj590671                installUiLevel 
ATTg25                    internationalISDNNumber 
ATTk590447                ipsecData 
ATTj590446                ipsecDataType 
ATTb590453                ipsecFilterReference 
ATTm590445                ipsecID 
ATTb590450                ipsecISAKMPReference 
ATTm590444                ipsecName 
ATTm590712                iPSECNegotiationPolicyAction 
ATTb590452                ipsecNegotiationPolicyReference 
ATTm590711                iPSECNegotiationPolicyType 
ATTb590451                ipsecNFAReference 
ATTb590448                ipsecOwnersReference 
ATTb590341                ipsecPolicyReference 
ATTi591036                isEphemeral 
ATTk1376316               jpegPhoto 
ATTe2                     knowledgeInformation 
ATTm1900601               labeledURI 
ATTq590343                lastBackupRestorationTime 
ATTq589874                lastContentIndexed 
ATTm590154                lastUpdateSequence 
ATTk590093                linkTrackSecret 
ATTb590281                localPolicyReference 
ATTj589882                localeID 
ATTm590641                localizedDescription 
ATTj591177                localizationDisplayId 
ATTm590046                location 
ATTk589889                logonWorkstation 
ATTq589890                lSACreationTime 
ATTq589891                lSAModifiedCount 
ATTj589892                machineArchitecture 
ATTq590344                machinePasswordChangeInterval 
ATTk590283                machineWidePolicy 
ATTk589896                marshalledInterface 
ATTq589900                maxStorage 
ATTm590406                meetingAdvertiseScope 
ATTm590397                meetingApplication 
ATTj590413                meetingBandwidth 
ATTk590414                meetingBlob 
ATTm590402                meetingContactInfo 
ATTm590391                meetingDescription 
ATTl590412                meetingEndTime 
ATTm590389                meetingID 
ATTm590404                meetingIP 
ATTm590409                meetingIsEncrypted 
ATTm590392                meetingKeyword 
ATTm590398                meetingLanguage 
ATTm590393                meetingLocation 
ATTj590400                meetingMaxParticipants 
ATTm590390                meetingName 
ATTm590401                meetingOriginator 
ATTm590403                meetingOwner 
ATTm590394                meetingProtocol 
ATTm590408                meetingRating 
ATTm590410                meetingRecurrence 
ATTm590405                meetingScope 
ATTl590411                meetingStartTime 
ATTm590395                meetingType 
ATTm590407                meetingURL 
ATTm590474                mhsORAddress 
ATTk589906                moniker 
ATTm589907                monikerDisplayName 
ATTk591129                moveTreeState 
ATTb591251                msCOM-DefaultPartitionLink 
ATTk591252                msCOM-ObjectId 
ATTm591643                msDS-AzApplicationData 
ATTm591622                msDS-AzApplicationName 
ATTm591641                msDS-AzApplicationVersion 
ATTm591625                msDS-AzBizRule 
ATTm591626                msDS-AzBizRuleLanguage 
ATTm591640                msDS-AzClassId 
ATTj591619                msDS-AzDomainTimeout 
ATTi591629                msDS-AzGenerateAudits 
ATTm591627                msDS-AzLastImportedBizRulePath 
ATTj591648                msDS-AzMajorVersion 
ATTj591649                msDS-AzMinorVersion 
ATTj591624                msDS-AzOperationID 
ATTm591623                msDS-AzScopeName 
