ATTm591131                accountNameHistory 
ATTq590584                aCSAggregateTokenRatePerUser 
ATTq590590                aCSAllocableRSVPBandwidth 
ATTj590603                aCSCacheTimeout 
ATTj590581                aCSDirection 
ATTj590602                aCSDSBMDeadTime 
ATTj590600                aCSDSBMPriority 
ATTj590601                aCSDSBMRefresh 
ATTi590594                aCSEnableACSService 
ATTi590723                aCSEnableRSVPAccounting 
ATTi590592                aCSEnableRSVPMessageLogging 
ATTj590593                aCSEventLogLevel 
ATTm590608                aCSIdentityName 
ATTq590721                aCSMaxAggregatePeakRatePerUser 
ATTj590585                aCSMaxDurationPerFlow 
ATTj590725                aCSMaxNoOfAccountFiles 
ATTj590598                aCSMaxNoOfLogFiles 
ATTq590591                aCSMaxPeakBandwidth 
ATTq590583                aCSMaxPeakBandwidthPerFlow 
ATTj590726                aCSMaxSizeOfRSVPAccountFile 
ATTj590599                aCSMaxSizeOfRSVPLogFile 
ATTq591137                aCSMaxTokenBucketPerFlow 
ATTq590582                aCSMaxTokenRatePerFlow 
ATTq591138                aCSMaximumSDUSize 
ATTq591141                aCSMinimumDelayVariation 
ATTq591140                aCSMinimumLatency 
ATTq591139                aCSMinimumPolicedSize 
ATTq591144                aCSNonReservedMaxSDUSize 
ATTq591145                aCSNonReservedMinPolicedSize 
ATTq591142                aCSNonReservedPeakRate 
ATTq591143                aCSNonReservedTokenSize 
ATTq590604                aCSNonReservedTxLimit 
ATTq590722                aCSNonReservedTxSize 
ATTq590589                aCSPermissionBits 
ATTm590596                aCSPolicyName 
ATTj590588                aCSPriority 
ATTm590724                aCSRSVPAccountFilesLocation 
ATTm590597                aCSRSVPLogFilesLocation 
ATTj590586                aCSServiceType 
ATTm590580                aCSTimeOfDay 
ATTj590587                aCSTotalNoOfFlows 
ATTm591136                aCSServerList 
ATTm590713                additionalTrustedServiceNames 
ATTm590438                adminContextMenu 
ATTm131298                adminDescription 
ATTm590386                adminPropertyPages 
ATTj590672                appSchemaVersion 
ATTm590042                applicationName 
ATTm590165                appliesTo 
ATTm590107                assetNumber 
ATTb590476                assistant 
ATTk591037                assocNTAccount 
ATTm590572                attributeDisplayNames 
ATTk590156                birthLocation 
ATTq589837                builtinCreationTime 
ATTq589838                builtinModifiedCount 
ATTm15                    businessCategory 
ATTj590108                bytesPerMinute 
ATTk37                    cACertificate 
ATTm590521                cACertificateDN 
ATTm590511                cAConnect 
ATTm590514                cAUsages 
ATTm590512                cAWEBURL 
ATTm590639                canUpgradeScript 
ATTm590499                catalogs 
ATTm590496                categories 
ATTk590146                categoryId 
ATTb590508                certificateAuthorityObject 
ATTm590647                certificateTemplates 
ATTm590434                classDisplayName 
ATTm589843                cOMClassID 
ATTm590073                cOMCLSID 
ATTm589844                cOMInterfaceID 
ATTm590077                cOMOtherProgId 
ATTm589845                cOMProgID 
ATTm590075                cOMTreatAsClassId 
ATTm590078                cOMTypelibId 
ATTm590074                cOMUniqueLIBID 
ATTi589848                contentIndexingAllowed 
ATTm590323                contextMenu 
ATTk590024                controlAccessRights 
ATTm590634                createDialog 
ATTm590636                createWizardExt 
ATTm590322                creationWizard 
ATTm590503                creator 
ATTb590513                cRLObject 
ATTk590161                currMachineId 
ATTk590159                currentLocation 
ATTb590520                currentParentCA 
ATTb590037                defaultClassStore 
ATTb590304                defaultGroup 
ATTb589881                defaultLocalPolicyObject 
ATTj590056                defaultPriority 
ATTm590170                desktopProfile 
ATTf27                    destinationIndicator 
ATTk590539                dhcpClasses 
ATTq590524                dhcpFlags 
ATTm590525                dhcpIdentification 
ATTf590530                dhcpMask 
ATTq590543                dhcpMaxKey 
ATTm590527                dhcpObjDescription 
ATTm590526                dhcpObjName 
ATTk590538                dhcpOptions 
ATTk590542                dhcpProperties 
ATTf590531                dhcpRanges 
ATTf590533                dhcpReservations 
ATTf590532                dhcpSites 
ATTf590541                dhcpState 
ATTf590529                dhcpSubnets 
ATTj590523                dhcpType 
ATTq590522                dhcpUniqueKey 
ATTq590544                dhcpUpdateTime 
ATTm590085                division 
ATTm131670                dmdName 
ATTi590202                dnsAllowDynamic 
ATTi590203                dnsAllowXFR 
ATTj590205                dnsNotifySecondaries 
ATTk591130                dNSProperty 
ATTk590206                dnsRecord 
ATTj590204                dnsSecureSecondaries 
ATTi591238                dNSTombstoned 
ATTb590492                domainCAs 
ATTb590510                domainID 
ATTj590579                domainIdentifier 
ATTb589856                domainPolicyObject 
ATTb590246                domainPolicyReference 
ATTk590245                domainWidePolicy 
ATTm590053                driverName 
ATTj590100                driverVersion 
ATTj591168                dSUIAdminMaximum 
ATTm591167                dSUIAdminNotification 
ATTj591169                dSUIShellMaximum 
ATTb590361                dynamicLDAPServer 
ATTm589859                employeeID 
ATTm590649                enrollmentProviders 
ATTm131299                extensionName 
ATTm590640                fileExtPriority 
ATTj589862                flags 
ATTk590180                foreignIdentifier 
ATTm590506                friendlyNames 
ATTm590695                fRSControlDataCreation 
ATTm590696                fRSControlInboundBacklog 
ATTm590697                fRSControlOutboundBacklog 
ATTm590308                fRSDirectoryFilter 
ATTj590314                fRSDSPoll 
ATTk590360                fRSExtensions 
ATTm590315                fRSFaultCondition 
ATTm590307                fRSFileFilter 
ATTj590698                fRSFlags 
ATTj590358                fRSLevelLimit 
ATTj590701                fRSPartnerAuthLevel 
ATTk590357                fRSReplicaSetGUID 
ATTj589855                fRSReplicaSetType 
ATTm590311                fRSRootPath 
ATTp590359                fRSRootSecurity 
ATTm590324                fRSServiceCommand 
ATTm590703                fRSServiceCommandStatus 
ATTm590312                fRSStagingPath 
ATTl590704                fRSTimeLastCommand 
ATTl590705                fRSTimeLastConfigChange 
ATTj590309                fRSUpdateTimeout 
ATTm590706                fRSVersion 
ATTk589867                fRSVersionGUID 
ATTm590310                fRSWorkingPath 
ATTi589865                generatedConnection 
ATTm44                    generationQualifier 
ATTm590715                gPLink 
ATTj590716                gPOptions 
ATTm590718                gPCFileSysPath 
ATTj590717                gPCFunctionalityVersion 
ATTm591172                gPCMachineExtensionNames 
ATTm591173                gPCUserExtensionNames 
ATTj589976                groupAttributes 
ATTk589990                groupMembershipSAM 
ATTm590169                groupPriority 
ATTm590168                groupsToIgnore 
ATTm590043                iconPath 
ATTk590144                implementedCategories 
ATTm590505                indexedScopes 
ATTj590671                installUiLevel 
ATTg25                    internationalISDNNumber 
ATTk590447                ipsecData 
ATTj590446                ipsecDataType 
ATTb590453                ipsecFilterReference 
ATTm590445                ipsecID 
ATTb590450                ipsecISAKMPReference 
ATTm590444                ipsecName 
ATTm590712                iPSECNegotiationPolicyAction 
ATTb590452                ipsecNegotiationPolicyReference 
ATTm590711                iPSECNegotiationPolicyType 
ATTb590451                ipsecNFAReference 
ATTb590448                ipsecOwnersReference 
ATTb590341                ipsecPolicyReference 
ATTi591036                isEphemeral 
ATTe2                     knowledgeInformation 
ATTq590343                lastBackupRestorationTime 
ATTq589874                lastContentIndexed 
ATTm590154                lastUpdateSequence 
ATTk590093                linkTrackSecret 
ATTb590281                localPolicyReference 
ATTm590641                localizedDescription 
ATTj591177                localizationDisplayId 
ATTm590046                location 
ATTk589889                logonWorkstation 
ATTq589890                lSACreationTime 
ATTq589891                lSAModifiedCount 
ATTj589892                machineArchitecture 
ATTq590344                machinePasswordChangeInterval 
ATTk590283                machineWidePolicy 
ATTk589896                marshalledInterface 
ATTq589900                maxStorage 
ATTm590406                meetingAdvertiseScope 
ATTm590397                meetingApplication 
ATTj590413                meetingBandwidth 
ATTk590414                meetingBlob 
ATTm590402                meetingContactInfo 
ATTm590391                meetingDescription 
ATTl590412                meetingEndTime 
ATTm590389                meetingID 
ATTm590404                meetingIP 
ATTm590409                meetingIsEncrypted 
ATTm590392                meetingKeyword 
ATTm590398                meetingLanguage 
ATTm590393                meetingLocation 
ATTj590400                meetingMaxParticipants 
ATTm590390                meetingName 
ATTm590401                meetingOriginator 
ATTm590403                meetingOwner 
ATTm590394                meetingProtocol 
ATTm590408                meetingRating 
ATTm590410                meetingRecurrence 
ATTm590405                meetingScope 
ATTl590411                meetingStartTime 
ATTm590395                meetingType 
ATTm590407                meetingURL 
ATTm590474                mhsORAddress 
ATTk589906                moniker 
ATTm589907                monikerDisplayName 
ATTk591129                moveTreeState 
ATTk591184                mS-DS-ConsistencyGuid 
ATTj591185                mS-DS-ConsistencyChildCount 
ATTm590708                msRRASAttribute 
ATTm590707                msRRASVendorAttributeEntry 
ATTm591187                mS-SQL-Name 
ATTm591188                mS-SQL-RegisteredOwner 
ATTm591189                mS-SQL-Contact 
ATTm591190                mS-SQL-Location 
ATTq591191                mS-SQL-Memory 
ATTj591192                mS-SQL-Build 
ATTm591193                mS-SQL-ServiceAccount 
ATTj591194                mS-SQL-CharacterSet 
ATTm591195                mS-SQL-SortOrder 
ATTj591196                mS-SQL-UnicodeSortOrder 
ATTi591197                mS-SQL-Clustered 
ATTm591198                mS-SQL-NamedPipe 
ATTm591199                mS-SQL-MultiProtocol 
ATTm591200                mS-SQL-SPX 
ATTm591201                mS-SQL-TCPIP 
ATTm591202                mS-SQL-AppleTalk 
ATTm591203                mS-SQL-Vines 
ATTq591204                mS-SQL-Status 
ATTm591205                mS-SQL-LastUpdatedDate 
ATTm591206                mS-SQL-InformationURL 
ATTm591207                mS-SQL-ConnectionURL 
ATTm591208                mS-SQL-PublicationURL 
ATTm591209                mS-SQL-GPSLatitude 
ATTm591210                mS-SQL-GPSLongitude 
ATTm591211                mS-SQL-GPSHeight 
ATTm591212                mS-SQL-Version 
ATTm591213                mS-SQL-Language 
ATTm591214                mS-SQL-Description 
ATTm591215                mS-SQL-Type 
ATTi591216                mS-SQL-InformationDirectory 
ATTm591217                mS-SQL-Database 
ATTi591218                mS-SQL-AllowAnonymousSubscription 
ATTm591219                mS-SQL-Alias 
ATTq591220                mS-SQL-Size 
ATTm591221                mS-SQL-CreationDate 
ATTm591222                mS-SQL-LastBackupDate 
ATTm591223                mS-SQL-LastDiagnosticDate 
ATTm591224                mS-SQL-Applications 
ATTm591225                mS-SQL-Keywords 
